EcoFoodSystems Dashboard,,,,,This sheet serves as the MASTER LIST of all indicators proposed for the dashboard. It defines how indicators are organised within the dashboard structure.,,,,,,,,,,,,,,,
#,Affordable diets,Sustainable diets,Healthier diets,,Domain / Sub-theme,Indicator name,Definition (what the indicator measures),Relevance (why it matters for the project),Unit of measurement,Geographic coverage,Data source,Method (calculation or derivation),Years available,Update frequency,Limitations,Responsible researcher,Data accessibility (open/internal/restricted),Notes,Status,
#,Affordable diets,Sustainable diets,Healthier diets,Theme,Domain / Sub-theme,Indicator name,Definition (what the indicator measures),Relevance (why it matters for the project),Unit of measurement,Geographic coverage,"If city level, which?",Data source,Method (calculation or derivation),Years available,Update frequency,Limitations,Responsible researcher,Data accessibility (open/internal/restricted),Notes,Status
1,,,x,Health ,Nutrition & Health,Prevalence of stuntig for under 5,Percentage of children aged 0–59 months whose height-for-age Z-score (HAZ) < -2 standard deviations (SD) from the World Health Organization Child Growth Standards.,"Stunting indicates chronic dietary inadequacy and poor diet quality over time, often linked to limited access to diverse and nutrient-rich foods. It is a key outcome of food systems that fail to provide sustainable, diverse, and nutritious diets, especially during the first 1,000 days of life.",HAZ score,National & city,Nutrition Survailance (NIN),(Number of children 0–59 months with HAZ < -2 SD / Total number of children measured) × 100,2010-2024,Annually,,Ky Hoang,Open,,Displayed in Dashboard,
2,,,x,,Nutrition & Health,Prevalence of wasting for under 5,Percentage of children aged 0–59 months whose weight-for-height Z-score (WHZ) < -2 SD from the World Health Organization Child Growth Standards.,"Wasting reflects acute undernutrition and short-term food insecurity. It is highly sensitive to shocks in the food system (e.g., price spikes, seasonal shortages), thus serving as a critical indicator of dietary adequacy, access, and resilience. Reducing wasting aligns with ensuring affordable and stable access to nutritious foods.",WHZ score,National & city,Nutrition Survailance (NIN),(Number of children 0–59 months with WHZ < -2 SD / Total number of children measured) × 100,2010-2024,Annually,,Ky Hoang,Open,,Displayed in Dashboard,
3,,,x,,Nutrition & Health,Prevalence of underweight for under 5,Percentage of children aged 0–59 months whose weight-for-age Z-score (WAZ) < -2 SD from WHO standards.,"Underweight captures both chronic and acute undernutrition, making it a composite indicator of overall child nutritional status. It reflects deficiencies in diet quantity and quality, as well as broader food system performance in delivering sufficient and affordable food.",WAZ score,National & city,Nutrition Survailance (NIN),(Number of children 0–59 months with WAZ < -2 SD / Total number of children measured) × 100,2010-2024,Annually,,Ky Hoang,Open,,Displayed in Dashboard,
4,,,x,Health ,Nutrition & Health,Prevalence of obesity and overweight for under 5,Percentage of children aged 0–59 months whose weight-for-height Z-score (WHZ) > +2 SD from WHO standards.,"Child overweight reflects early exposure to energy-dense, nutrient-poor diets, often driven by shifts in food environments and market systems. It signals the nutrition transition and highlights imbalances in food systems where cheap, unhealthy foods are more accessible than healthy options.",BMI-for-age ,National & city,Nutrition Survailance (NIN),(Number of children 0–59 months with WHZ > +2 SD / Total number of children measured) × 100,2010-2023,Annually,,Ky Hoang,Open,,Displayed in Dashboard,
5,,,x,,Nutrition & Health,Prevalence of underweight for women,Percentage of women aged 15–49 years with Body Mass Index (BMI) < 18.5 kg/m².,"Maternal underweight indicates insufficient dietary intake and poor food access, affecting women’s health and intergenerational nutrition outcomes. It reflects inequities in food affordability and intra-household food distribution, and is critical for assessing the inclusiveness of food systems.",BMI (kg/m²),National & city,Nutrition Survailance (NIN),(Number of women with BMI < 18.5 / Total number of women measured) × 100,2010-2023,Annually,,Ky Hoang,Open,,Displayed in Dashboard,
6,,,x,,Nutrition & Health,Prevalence of obesity and overweight for women, Asia standard - IDI & WPRO: Proportion of adults aged 18 and older with BMI ≥ 23 kg/m². Estimates are age-standardized,"Overweight and obesity among women are key indicators of diet-related non-communicable disease (NCD) risk and unhealthy food environments. They reflect increased consumption of ultra-processed and energy-dense foods, often associated with food systems that prioritize low cost over nutritional quality and sustainability.",BMI (kg/m²),National & city,Nutrition Survailance (NIN),(Number of women with BMI ≥ 23 / Total number of women measured) × 100,2010-2023,NA,"based on small-scale, isolated research.",Ky Hoang,Open,,Displayed in Dashboard,
7,x,,,,Food Environments,Cost of affordable diets,Data not available yet,Data not available yet,Data not available yet,Data not available yet,Data not available yet,Data not available yet,Data not available yet,Data not available yet,Data not available yet,Data not available yet,Data not available yet,Data not available yet,Data not available yet,
8,x,,,,Food Environments,Cost and affordability of healthy diets,Data not available yet,Data not available yet,Data not available yet,Data not available yet,Data not available yet,Data not available yet,Data not available yet,Data not available yet,Data not available yet,Data not available yet,Data not available yet,Data not available yet,Data not available yet,
9,,x,x,Health ,Food Environments,Food outlet accessibility (walking),Spatial accessibility to food outlets based on walking distance from population clusters,"Shows how easily residents can reach food outlets on foot, helping identify spatial barriers to healthy food access.",Distance buffer in meters,Wards/ commune,OSM,Calculated by measuring walkable distance from population locations to the nearest food outlets within a defined buffer,2026,Updates depend on the availability of new OpenStreetMap data and revised population estimates.,Accuracy of OpenStreetMap data,Jemima O'Farrell,Open,,,
10,,,x,Health ,Food Environments,Healthy outlet density,Spatial distribution of total number of healthy food outlets per commune,Reveals the availability of protective food environments across communes.,Outlets per km2,Wards/ commune,OSM,Calculated as the number of healthy outlets divided by the area (km²) of each commune.,2026,Updates depend on the availability of new OpenStreetMap data and revised population estimates.,Accuracy of OpenStreetMap data,Vibeth Porras,Open,,,
11,,,x,,Food Environments,Unhealthy outlet density,Spatial distribution of total number of unhealthy food outlets per commune,Identifies areas where obesogenic food options are concentrated.,Outlets per km2,Wards/ commune,OSM,Calculated as the number of unhealthy outlets divided by the area (km²) of each commune.,2026,Updates depend on the availability of new OpenStreetMap data and revised population estimates.,Accuracy of OpenStreetMap data,Vibeth Porras,Open,,,
12,,,x,,Food Environments,Mixed outlet density,Spatial distribution of total number of mixed food outlets per commune,"Captures environments where healthy and unhealthy options coexist, highlighting ambiguous food landscapes.",Outlets per km2,Wards/ commune,OSM,Calculated as the number of mixed outlets divided by the area (km²) of each commune.,2026,Updates depend on the availability of new OpenStreetMap data and revised population estimates.,Accuracy of OpenStreetMap data,Vibeth Porras,Open,,,
13,x,,x,,Food Environments,Obesogenic ratio,"Balance between unhealthy and healthy outlets per commune, indicating pressure levels","Summarizes the balance between unhealthy and healthy outlets, pinpointing communes under greatest obesogenic pressure.",Ratio,Wards/ commune,OSM,Calculated by dividing the number of unhealthy outlets by the number of healthy outlets in each commune.,2026,Updates depend on the availability of new OpenStreetMap data and revised population estimates.,Accuracy of OpenStreetMap data,Vibeth Porras,Open,,,
14,x,,x,,Food Environments,Percent access to healthy food,Proportion of residents who can reach healthy outlets within a walkable buffer,Shows the share of residents with walkable access to protective food environments.,Pertentage of population,Wards/ commune,OSM,Calculated as the proportion of the population living within the walkable buffer of healthy outlets,2026,Updates depend on the availability of new OpenStreetMap data and revised population estimates.,Accuracy of OpenStreetMap data,Vibeth Porras,Open,,,
15,x,,x,,Food Environments,Percent access to unhealthy food,Proportion of residents who can reach unhealthy outlets within a walkable buffer,Indicates population exposure to obesogenic food environments within walkable distances.,Pertentage of population,Wards/ commune,OSM,Calculated as the proportion of the population living within the walkable buffer of unhealthy outlets,2026,Updates depend on the availability of new OpenStreetMap data and revised population estimates.,Accuracy of OpenStreetMap data,Vibeth Porras,Open,,,
16,x,,x,,Multidimensional Poverty,"1 Living standard dimension (houseing condition, assets, drinking water, electricity, cooking fuel, sanitation)",Percentage of households that do not meet the minimum threshold indicated in the OPHI-MPI calculation classified as deprived ,To explore marginalised consumers,Percentage of household,Wards/ commune,Vietnam population and housing survey,Global MPI index used by UNDP and Oxford Public Health Institute,2019,Update depend on the release/access of new survey,Avilability of survey,Yared Tessema,GSO ,"Galina shared with me, when I joined the project",Displayed in Dashboard,
17,,,x,,Multidimensional Poverty,"2 Health dimension (nutrition, child mortality)",Percentage of households that do not meet the minimum threshold indicated in the OPHI-MPI calculation classified as deprived ,To explore marginalised consumers,,,No data for Hanoi,,,,,Yared Tessema,,,,
18,,x,x,,Multidimensional Poverty,"3 Education (Year of schooling, school attenadance)",Percentage of households that do not meet the minimum threshold indicated in the OPHI-MPI calculation classified as deprived ,To explore marginalised consumers,,,No data for Hanoi,,,,,Yared Tessema,,,,
19,,,,,Multidimensional Poverty,4,,,,,,,,,,Yared Tessema,,,,
20,,,,,Multidimensional Poverty,5,,,,,,,,,,Yared Tessema,,,,
21,,,,,Multidimensional Poverty,6,,,,,,,,,,Yared Tessema,,,,
22,x,x,x,Governance,Policies and Regulation,Food systems policies database,"absence or presence of national binding documents mainly related to: 1) biofortification policies adopted and in-process, 2) Presence of national health-related food environment policies, 3) Existence of any policies on mandatory nutrition labeling for packaged foods, 4) Existence of any policies on marketing of junk foods to children",to estimate the development of the national food system ,units from 0 to 4,National ,FAOLEX,"FAOLEX dataset consultation, based on keywords, and confirmation by summary reading.",,,,Carlos Rodriguez,,,,
23,x,x,x,Governance,Food Systems Stakeholders,Food systems stakeholder database,,,,,Internally produced,,,,,,,,,
