ID,Document URL,Title,Date of original text,Language of document,Primary subjects,Domain,Last amended date,Available website,Country/Territory,Regional organizations,Territorial subdivision,Type of text,Repealed,Abstract,Keywords
LEX-FAOC002900,https://faolex.fao.org/docs/pdf/eth2900.pdf,"Protection of Private Forests Regulations, 1968 (L.N. No. 343 of 1968).",1968-09-30,English,Forestry,Forestry,,,Ethiopia,,,Regulation,,The 9 regulations carry the following titles: Issuing Authority (1); Short Title (2); Definitions (3); Precautions Regarding the Kindling of Fires (4); Fire Extinguishing (5); Forest Insects and Diseases (6); Other Threatening Damages (7); Penal (8); Effective date (9). ,forest management/forest conservation; private forest; forest fires; offences/penalties; hazards
LEX-FAOC002901,https://faolex.fao.org/docs/pdf/eth2901.pdf,Forest and Wildlife Conservation and Development Proclamation (No. 192/1980).,1980-09-05,English,Wild species & ecosystems,Forestry; Wild species & ecosystems,,,Ethiopia,,,Legislation,Y,"The 26 sections of this Proclamation are divided into three Parts: General (I); Forest and Wildlife Conservation and Development Authority (II); Miscellaneous Provisions (III). There is hereby established a Forest and Wildlife Conservation and Development Authority (hereinafter the Authority) having its own juridical personality. The Authority shall, among other tasks, establish and administer national parks, game reserves and other conservation areas. Within the Authority a Forest and Wildlife Conservation and Development Council shall be established. No person, unless he is in possession of a written permission from the Authority, may: a) hunt wild animals or use the products thereof; b) settle in any state forest, national park, game reserve, or other conservation area; c) fell trees, collect, load or transport any state forest product; d) graze cattle in any forest, national park, game reserve, or other conservation area or commit any other act detrimental thereto. ",protected area; basic legislation; institution; governance
LEX-FAOC002902,https://faolex.fao.org/docs/pdf/eth2902.pdf,"Protection of State Forests Regulations, 1968 (L. N. 344 of 1968).",1968-09-30,English,Forestry,Forestry,,,Ethiopia,,,Regulation,Y,"The 8 regulations carry the following Titles: Issuing Authority (1); Short Title (2); Definitions (3); Precautions Regarding the Kindling of Fires (4); Fire Extinguishing (5); Other Treathening Damages, Including Grazing (6); Penal (7); Effective Date (8). ",forest management/forest conservation; public forest; forest fires; offences/penalties; hazards
LEX-FAOC002904,https://faolex.fao.org/docs/pdf/eth2904.pdf,"Exploitation of State Forests Regulations, 1968 (L. N. No. 345 of 1968).",1968-09-30,English,Forestry,Forestry,,,Ethiopia,,,Regulation,Y,"The 10 regulations carry the following titles: Issuing Authority (1); Short Title (2); Definitions (3); Forest Operation Plan (4); Marking the Trees for Cutting (5); Methods of Exploitation (6); Marketing (7); Rules for Auction or Tender (8); Penal (9); Effective Date (10). No state forest shall be exploited unless in conformity with an operation plan or in exceptional cases with a preliminary working scheme (Reg. 4). Exploitation can only be carried out by: a) the Ministry; b) villagers and local inhabitants entitled to purchase products under paragraph 2 of article 6; and c) concessionaires in accordance with paragraph 3, article 6. ",public forest; private forest; timber extraction/logging; policy/planning; internal trade; offences/penalties; forest management/forest conservation
LEX-FAOC002905,https://faolex.fao.org/docs/pdf/eth2905.pdf,Exploitation of Private Forest Regulations (L. N. No. 346 of 1968).,1968-09-30,English,Forestry,Forestry,,,Ethiopia,,,Regulation,,The 13 regulations carry the following titles: Issuing Authority (1); Short Title (2); Definitions (3); Application for Forest Exploitation Permit (4); Operation Plan (5); Obligation to Reforest (6); Exploitation Permit (7); Marking of Trees for Cutting (8); Marketing (9); Inspection of Cutting Operations (10); Records (11); Penal (12); Effective Date (13). ,private forest; policy/planning; afforestation/reforestation; timber extraction/logging; offences/penalties; forest management/forest conservation
LEX-FAOC002908,https://faolex.fao.org/docs/pdf/eth2908.pdf,"Management of Protective Forests Regulations, 1968 (L. N. No. 347 of 1968).",1968-09-30,English,Forestry,Forestry,,,Ethiopia,,,Regulation,Y,"The 9 regulations carry the following titles: Issuing Authority (1); Short Title (2); Definitions (3); Management Plan (4); Utilization (5); Marketing (6); Afforestation (7); Penal (8); Effective Date (9). Protective forests can be public or privately owned forests. Rules of these Regulations apply equally both, except that a private owner shall bear expenses of afforestation of private land, whereas afforestation of public land shall be paid for by the Government (reg. 7). ",protection forest; forest management/forest conservation; policy/planning; timber extraction/logging; public forest; private forest
LEX-FAOC002909,https://faolex.fao.org/docs/pdf/eth2909.pdf,"Powers of Rangers Regulation, 1968 (L. N. No. 349 of 1968).",1968-09-30,English,Forestry,Forestry,,,Ethiopia,,,Regulation,Y,The 8 regulations carry the following titles: Issuing Authority (1); Short Title (2); Definitions (3); Establishment of Forest Ranger Service (4); Duties and Powers of Forest Rangers (5); Uniforms and Arms (6); Penal (7); Effective Date (8). These Regulations provide for the establishment of a Forest Ranger Service for the protection of forests and the implementation of forestry laws and regulations. ,public forest; forest service; forest management/forest conservation
LEX-FAOC002910,https://faolex.fao.org/docs/pdf/eth2910.pdf,"Powers of Forest Guards Regulations, 1968 (L. N. 350 of 1968).",1969-09-30,English,Forestry,Forestry,,,Ethiopia,,,Regulation,Y,The 9 regulations carry the follwing titles: Issuing Authority (1); Short Title (2); Definitions (3); Establishment of Forest Guard Service (4); Duties of Forest Guards (5); Steps to be Taken by Forest Guards (6); Uniforms and Arms (7); Penal (8); Effective Date (9). Forest Guards shall: (a) protect and guard state forests; (b) ensure handling or use of forest products from state and private forests; and (c) ensure implementation of forest laws. (9 regulations) ,public forest; private forest; forest service; offences/penalties; forest management/forest conservation
LEX-FAOC002911,https://faolex.fao.org/docs/pdf/eth2911.pdf,"Trade of Saw Logs and Veneer Logs Regulations, 1968 (L. N. No. 351 of 1968).",1968-09-30,English,Forestry,Forestry,,,Ethiopia,,,Regulation,,"The 6 regulations carry the following titles: Issuing Authority (1); Short Title (2); Definitions (3); Report (4); Penal (5); Effective Date (6). Every Person operating a sawmill, veneer mill, plywood factory, or any plant processing forest products, whether from a state forest or private forest shall annually report on the ownership of the plant and location, capacity and mechanical description of the plant in the form as reproduced in the Annex. ",internal trade; processing/handling; data collection/reporting
LEX-FAOC003095,https://faolex.fao.org/docs/pdf/eth3095.pdf,Government Ownership of Urban Lands and Extra Houses Proclamation No. 47/1975.,1975-07-26,English,Land & soil,Land & soil,,,Ethiopia,,,Legislation,,The Proclamation is divided into 7 Chapters: Introduction (I); Urban Lands (II); Urban Houses (III); Rent (IV); Cooperative Societies of Urban Dwellers (V); Powers and Duties of the Ministry (VI); General Provisions (VII). The Proclamation vests all urban lands in the Government (sect. 3). ,land tenure; urban land; public land; institution; governance
