pop_cat,offer_cat,mode,time,Akaki Kality,Nifas Silk Lafto,Kolfe Keraniyo,Bole,Lideta,Kirkos,Yeka,Addis Ketema,Arada,Gulele,Lemi Kura
total,amenity_fast_food,drive,300s,22327.791912000004,60667.947119,27069.709724999997,115250.81949499999,85932.309794,240958.71880399997,32642.836374,106980.292281,183752.62245100003,26406.991186,41571.344071
men,amenity_fast_food,drive,300s,10927.278288,28577.01211,13077.351449,54166.894705,40717.199980000005,112733.55142999999,15224.687528,52238.451821,86167.882618,12686.780197,19501.996112
women,amenity_fast_food,drive,300s,11400.513624000001,32090.935009,13992.358275999999,61083.92478999999,45215.109814,128225.16737400001,17418.148846,54741.841719,97584.73984,13720.210998000002,22069.347959000002
youth,amenity_fast_food,drive,300s,6155.0167679999995,17223.536696999996,7608.1479340000005,33845.876043000004,24878.785651000002,70119.51172,9122.814677999999,33669.379779,54290.990992,7673.839812,12064.228779
children_u5,amenity_fast_food,drive,300s,1800.4383360000002,4915.790828,2397.3321779999997,9066.167242999998,5830.051200999999,13577.874952,2456.119672,5865.522609999999,9821.354768,1712.3810959999996,3239.1288429999995
women_rep,amenity_fast_food,drive,300s,7263.95472,21321.988384,8980.037852,41742.358693,29910.503779000002,86987.52949899998,11611.776699999999,35811.496984,65840.478214,9086.865644000001,14990.984429
elderly,amenity_fast_food,drive,300s,1035.648,2509.758249,1036.9805700000002,4634.726943000001,4645.23415,15247.826373999997,1682.3236590000001,6784.451462999999,11842.959208999999,1572.4385619999998,1783.1328930000002
total,amenity_fast_food,drive,600s,86690.80480200001,217850.06551399996,165033.12187899998,146174.188746,283545.28041799995,330772.40487499995,120082.86524,303824.435025,309738.570816,196463.92587099998,136804.701019
men,amenity_fast_food,drive,600s,42425.772642,102635.14924599999,79527.77871299999,68700.84370299999,134894.196312,154751.531116,56002.87255599999,148469.41928800003,145248.72170300002,94871.461075,64084.994683
women,amenity_fast_food,drive,600s,44265.03216,115214.91626800002,85505.34316599999,77473.345043,148651.084109,176020.873759,64079.992684000004,155355.01937099997,164489.84912,101592.46481900002,72719.706336
youth,amenity_fast_food,drive,600s,23898.137157,61838.409629999995,46893.98365,42925.041708,82898.49029,96252.735439,33574.677683999995,95713.256952,91381.190279,56736.52671199999,39331.14231899999
children_u5,amenity_fast_food,drive,600s,6990.478446,17658.123338,13416.67696,11499.272882999998,17447.018888,18628.870387,8899.493066999998,16675.413233000003,16721.594688999998,13325.762596999999,10579.613935
women_rep,amenity_fast_food,drive,600s,28204.649718,76536.92472600001,55148.26537800001,52940.046973000004,97945.654545,119410.5297,42692.628083999996,101561.34689900001,110942.52966500001,67001.189306,49164.303568999996
elderly,amenity_fast_food,drive,600s,4020.79371,9010.90035,7335.513144,5878.530615,17094.582049999997,20942.416323999994,6317.278039,19260.163454999994,19873.910709000003,11447.02075,6154.244335000001
total,amenity_fast_food,drive,900s,146251.59021599998,329953.47993199993,309975.142357,156298.824623,309738.5818909999,330772.40487499995,206169.41031200002,418566.98781099997,314904.803056,349957.964533,215624.70527
men,amenity_fast_food,drive,900s,71574.972878,155477.73354000002,149559.20889999997,73459.442264,147458.252699,154751.531116,96130.76722,204450.20489800003,147670.976983,169069.524414,101021.40624
