,index,pop_cat,offer_cat,mode,time,Akaki Kality,Nifas Silk Lafto,Kolfe Keraniyo,Bole,Lideta,Kirkos,Yeka,Addis Ketema,Arada,Gulele,Lemi Kura
0,0,total,amenity_fast_food,drive,300,8.182295483716986,14.576814971953237,4.857761499549277,50.042050725084195,27.743495585655015,72.84728570240287,10.045129355044415,19.532055978697223,58.35180050217368,5.958392436917343,9.317470679083367
7,7,total,amenity_fast_food,drive,600,31.76891756277827,52.34329242089923,29.615816119144938,63.4690165326131,91.54341660858456,100.0,36.95291367575344,55.47111291318008,98.35943047236366,44.32951720215173,30.66231845494999
14,14,total,amenity_fast_food,drive,900,53.595703992012545,79.27861506318474,55.626208321269345,67.86514615971585,100.0,100.0,63.4441925299977,76.4203729719209,100.0,78.96344094733153,48.328407799562626
21,21,total,amenity_ice_cream,drive,300,,1.7433550446736914,,17.43693945700667,5.312973031493747,22.887058699956793,4.40885832437095,,14.422999516118248,,6.65163449206128
28,28,total,amenity_ice_cream,drive,600,,8.403114899362404,,31.94806717259611,32.76192015649845,92.08617440475658,21.802432659132474,,41.44413877224708,1.172366860100434,21.113345716210727
35,35,total,amenity_ice_cream,drive,900,,20.026007264929504,0.7363274192764677,46.82850358131103,77.61702205849274,100.0,34.82140591177566,,70.98210765913598,11.37125477685245,38.60436981871102
42,42,total,shop_deli,drive,300,,,,,0.9947756860604167,,,,18.876509348899695,,
49,49,total,shop_deli,drive,600,,,,,15.848852266739977,4.74637713171175,,9.027689093548293,61.80106058001008,1.7954535660883713,
56,56,total,shop_deli,drive,900,,,,,42.21396437432301,30.19234629978896,4.679556909099708,37.472071255142396,99.85990230770742,20.7436225042683,
63,63,total,shop_beverages,drive,300,,6.3870497860987685,2.0494804503628816,15.752211007054335,0.29519524445997597,2.516881611132616,10.709457071022308,10.973784128471355,30.96489747463766,,2.605631801343083
70,70,total,shop_beverages,drive,600,,22.51057773227925,8.298438129426511,44.853087099231,21.353432699667763,19.753463083987263,33.927331583551755,56.93213357433372,83.39545242448989,3.5036723299787678,13.260207801325075
77,77,total,shop_beverages,drive,900,,37.88080851112822,28.541366001355406,63.025691312716845,72.00924183461592,55.65425639136004,56.08943908695218,89.0570197052164,100.0,35.98702866940784,25.319416703765935
84,84,total,shop_butcher,drive,300,4.006831972985064,9.637051958501527,7.873919029574608,28.21358577520177,0.12516929232162455,29.550637528828418,13.055526479613524,1.5469103027570712,,0.34155337828289434,11.469837081471008
91,91,total,shop_butcher,drive,600,11.53659672368161,37.133744666867244,34.07691044043675,60.4649040687893,7.426126031691617,85.93523106058953,44.765656322350864,8.240706174928071,8.633606894577973,4.898752954506026,35.34732855980015
98,98,total,shop_butcher,drive,900,23.85769668818554,56.37041826183881,60.838327850972505,68.89283051418677,46.628681653493615,100.0,63.57340811648029,16.065711602756664,38.76212228630036,8.262519537325513,56.24407066926522
105,105,total,amenity_restaurant,drive,300,13.35304297907625,44.272699818217006,21.21919698698601,54.26188261610099,80.09486314181662,97.03707900037682,33.76822826951149,57.86111097367941,93.20474377833018,46.68563978960567,32.832518875773395
112,112,total,amenity_restaurant,drive,600,39.35550537340121,79.87049502619018,66.26902210450986,67.314295719095,100.0,100.0,59.377238178265465,93.72845851031656,100.0,86.17693066439952,65.78782232826646
119,119,total,amenity_restaurant,drive,900,69.08635354024459,94.97464487128084,86.78564436724096,80.48983010952338,100.0,100.0,83.54285663398647,97.33745955262741,100.0,98.50457977304093,79.22703580459866
126,126,total,shop_wine,drive,300,,,,0.6795071414807753,,7.333325951772385,,,,,
133,133,total,shop_wine,drive,600,,,,12.343443776650776,,36.65929045556993,0.011940059165425504,,,,
140,140,total,shop_wine,drive,900,,1.8969033690060395,,24.551789338714162,0.06651852789605178,75.65647994413881,3.161811178658448,,0.05276922212280429,,
147,147,total,healthy_offers,drive,300,5.402131407596923,19.600337213080092,8.22720378781696,48.065302677140124,27.653427514930073,48.72072266787216,37.59047130354046,23.088568595159018,34.13821056387082,17.781203188096207,15.537399147746811
154,154,total,healthy_offers,drive,600,19.944917968920183,49.26974303682365,35.18817617003784,67.57932848493465,86.57597504122617,93.85834270404841,64.55389850695802,59.33449134659972,99.56935049899546,63.23937884660354,39.1797749687119
161,161,total,healthy_offers,drive,900,37.06122126269451,79.86245036553181,69.63265777856475,80.26392741639907,99.73528094304747,100.0,78.94466005924133,91.94257968196243,100.0,91.54106762503734,60.70108666371436
168,168,total,amenity_pub,drive,300,1.1225976438922793,13.604945534135659,,16.154336705452003,0.8295355148569108,31.853026500749447,10.54743281671561,0.5280532322533661,23.828459310179554,,10.119345834354853
175,175,total,amenity_pub,drive,600,5.1045290563992465,44.383157385179885,,37.73353543317056,30.22127769795925,88.22858772674394,23.640795486586253,16.339791672918057,85.9495010013767,5.0778607171244134,32.44097794692247
182,182,total,amenity_pub,drive,900,9.453305811138678,75.33554989361332,0.24876022243250948,61.671413323555804,68.3205834233042,100.0,34.08822289280522,47.940656535570334,100.0,35.96446310762534,55.84986448688545
189,189,total,amenity_drinking_water,drive,300,,6.650281624249586,0.35328475824235217,1.7577333494502696,,,,,,,
196,196,total,amenity_drinking_water,drive,600,,25.908634023044534,2.6919849532474376,15.072703865573558,0.09251643345511376,,,,,,
203,203,total,amenity_drinking_water,drive,900,,55.66491479569364,12.584639328817254,44.06126472775341,4.038070213158495,6.873755462942019,,,,,
210,210,total,amenity_bar,drive,300,11.771214515329408,24.257525200189423,9.367217694314343,40.895172744161066,32.34657144109279,83.6490939891317,38.387746110383205,38.05030181797373,73.55978905974531,34.050543416369145,14.31410382603224
217,217,total,amenity_bar,drive,600,40.19436804403324,78.91690780489596,36.920659070545646,65.02136171120536,76.84751071623485,99.97508455458033,81.15226663042836,94.02492476863638,100.0,82.68371268345486,44.495652003023864
