shapeID,quarter,shapeName,grace_trend,vci_severe_pct,drought_resistance,flood_resistance,spei3_class_median,spei3_peak_abs,spei6_class_median,spei6_peak_abs,spei12_class_median,spei12_peak_abs
81297802B94706269623038,2000Q1,A Luoi,,46.5601420328451,,0.35055044,2.5,3.0,1.0,2.0,1.0,1.0
81297802B3825263519858,2000Q1,An Bien,,23.20675105485232,,0.5170047,,,,,,
81297802B31270346353021,2000Q1,An Duong,,12.060301507537687,,0.43961778,,,,,,
81297802B94904539855050,2000Q1,An Khe,,19.946091644204852,,0.7625,1.0,1.0,0.0,0.0,0.0,0.0
81297802B61161719512326,2000Q1,An Lao,,47.556245151280066,,0.2648906,2.0,2.0,1.0,1.0,1.0,1.0
81297802B65658789050233,2000Q1,An Lao,,12.0,,0.42181078,,,,,,
81297802B42244354568951,2000Q1,An Minh,,5.456255879586077,,0.6274233,0.0,1.0,0.0,1.0,2.0,2.0
81297802B14138193507010,2000Q1,An Nhon,,27.555555555555557,,0.31773204,,,,,,
81297802B41294306698552,2000Q1,An Phu,,14.07766990291262,,0.47577417,,,,,,
81297802B29202402001629,2000Q1,An Thi,,1.195219123505976,,0.47092676,,,,,,
81297802B23970425053168,2000Q1,Anh Son,,34.930313588850176,,,0.0,1.0,0.0,1.0,0.0,0.0
81297802B91685830390053,2000Q1,Ayun Pa,,34.774436090225564,,,,,,,,
81297802B36883846114124,2000Q1,Ba Be,,13.115996967399546,,,,,,,,
81297802B18420716282175,2000Q1,Ba Che,,7.228915662650602,,,0.0,0.0,0.0,0.0,0.0,0.0
81297802B78295235973409,2000Q1,Ba Dinh,,44.44444444444444,,,,,,,,
81297802B46228878369339,2000Q1,Ba Don,,30.16393442622951,,0.3537688,,,,,,
81297802B66449035371360,2000Q1,Ba Ria,,25.609756097560975,,,,,,,,
81297802B10763760406842,2000Q1,Ba Thuoc,,83.77104377104378,,0.1080103,0.0,0.0,0.0,0.0,0.0,0.0
81297802B2421652022296,2000Q1,Ba To,,50.36214389183969,,0.2535461,2.0,2.0,1.0,1.0,1.0,2.0
81297802B69586170313052,2000Q1,Ba Tri,,56.42633228840125,,,,,,,,
81297802B94958861355476,2000Q1,Ba Vi,,30.510585305105852,,0.35478744,,,,,,
81297802B54055270393742,2000Q1,Bac Ai,,38.072669826224335,,0.41984567,0.0,1.0,0.0,0.0,0.0,0.0
81297802B84889732636102,2000Q1,Bac Binh,,63.03708063566804,,0.3255942,0.0,1.0,0.0,1.0,0.0,1.0
81297802B62924474209473,2000Q1,Bac Giang,,7.199999999999999,,0.47337517,,,,,,
81297802B71116262659242,2000Q1,Bac Ha,,35.69277108433735,,0.27850866,0.0,0.0,0.0,1.0,0.0,0.0
81297802B17568713952999,2000Q1,Bac Kan,,9.433962264150944,,0.35810357,,,,,,
81297802B6284379291034,2000Q1,Bac Lieu,,11.98501872659176,,0.50075054,1.0,1.0,1.0,2.0,3.0,3.0
81297802B85329428934549,2000Q1,Bac Me,,7.982937233394272,,0.5773032,0.0,1.0,1.0,1.0,0.0,1.0
81297802B63234506717185,2000Q1,Bac Ninh,,18.354430379746837,,0.48501766,,,,,,
81297802B46816941364430,2000Q1,Bac Quang,,1.3397129186602872,,,0.0,0.0,0.0,0.0,0.0,0.0
81297802B43959874007568,2000Q1,Bac Son,,12.565055762081784,,0.38342512,0.0,0.0,0.0,1.0,0.0,0.0
81297802B7309999559024,2000Q1,Bac Tan Uyen,,19.047619047619047,,,,,,,,
81297802B65636962466894,2000Q1,Bac Tra My,,27.035623409669213,,0.4346533,2.0,2.0,1.0,1.0,1.0,1.0
81297802B3906213091507,2000Q1,Bac Tu Liem,,39.08045977011494,,,,,,,,
81297802B44532488811780,2000Q1,Bac Yen,,46.59413434247872,,,0.0,0.0,0.0,0.0,-2.0,2.0
81297802B40834484476285,2000Q1,Bach Long Vi,,0.0,,,,,,,,
81297802B24696745321038,2000Q1,Bach Thong,,14.150047483380815,,0.75,0.0,0.0,0.0,0.0,0.0,0.0
81297802B7761745227660,2000Q1,Bao Lac,,16.63865546218487,,0.47461006,0.0,0.0,1.0,1.0,0.0,0.0
81297802B56496932739620,2000Q1,Bao Lam,,14.829545454545451,,0.50568503,0.0,1.0,1.0,2.0,0.0,1.0
81297802B89982379831919,2000Q1,Bao Lam,,16.11214953271028,,0.531364,1.0,1.0,1.0,1.0,2.0,2.0
81297802B17535514855325,2000Q1,Bao Loc,,3.263403263403263,,0.6262046,1.0,1.0,0.0,1.0,2.0,2.0
81297802B25560916681091,2000Q1,Bao Thang,,21.732522796352583,,0.31047866,,,,,,
81297802B25948208667731,2000Q1,Bao Yen,,19.42535915053092,,,0.0,0.0,0.0,0.0,0.0,0.0
81297802B11536853186467,2000Q1,Bat Xat,,35.93672763222936,,0.591841,0.0,0.0,0.0,0.0,0.0,0.0
81297802B44215588050468,2000Q1,Bau Bang,,19.101123595505616,,0.37158066,,,,,,
81297802B37785439564270,2000Q1,Ben Cat,,2.968036529680365,,0.6620294,,,,,,
81297802B61263365113672,2000Q1,Ben Cau,,29.952830188679247,,0.3593825,,,,,,
81297802B50864428315087,2000Q1,Ben Luc,,42.31499051233397,,,,,,,,
