Year,Population,Paddy production,Fishery production,Number of cows,Number of pigs,Number of poultry,Meat production,Share of household food expenditure on non-staple groups,Total markets/supermarkets,Provincial Competitiveness Index (PCI),Number of policies on Food,Rice self-sufficiency rate,Meat self-sufficiency rate,Fish self-sufficiency rate,Rice import rate,Meat import rate,Fish import rate,Rice supplier concentration (HHI for import partners),Meat supplier concentration (HHI for import partners),Fish supplier concentration (HHI for import partners)
2024.0,8718000000.0,862800000.0,132128.0,120400000.0,1279800000.0,37383000000.0,439246.0,0.892,586.0,68.38,11.0,0.539,0.7056,0.392,0.01696,0.17543,0.12612,3049.04,2261.78,2977.92
2023.0,8587100000.0,939300000.0,127625.0,127100000.0,1306600000.0,36489000000.0,425411.0,0.8887,583.0,67.15,12.0,0.5836,0.7086,0.3797,0.0147,0.15515,0.12448,3193.89,2487.1,3017.13
2022.0,8435700000.0,952500000.0,123377.0,129600000.0,1261300000.0,35700000000.0,248380.6,0.8577,729.0,66.74,12.0,0.6354,0.6857,0.3932,0.01479,0.10629,0.12352,3361.43,2764.81,3075.69
2021.0,8330799999.999999,983800000.0,119595.0,130300000.0,1185100000.0,35721000000.0,399996.0,0.8873,718.0,68.6,8.0,0.5825,0.6926,0.3471,0.01768,0.11541,0.10266,3244.98,2854.3,3308.66
2020.0,8246500000.0,973500000.0,116090.0,130400000.0,1097100000.0,35280000000.0,229628.8,0.8988,725.0,66.93,2.0,0.5999,0.7014,0.3044,0.00192,0.12703,0.08333,3879.4,2968.24,3524.56
2019.0,8093900000.0,969400000.0,112637.0,128900000.0,979900000.0,33517000000.0,392909.0,0.8955,596.0,68.8,4.0,0.5983,0.6894,0.2982,0.00118,0.1489,0.08567,3796.51,2970.13,3407.47
2018.0,7914500000.0,1024600000.0,106211.0,136000000.0,1771900000.0,28008000000.0,262076.76,0.8864,588.0,65.4,7.0,0.6198,0.7446,0.2866,0.0023,0.04825,0.09002,3922.79,2961.43,3189.56
2017.0,7742200000.0,1051100000.0,99691.0,129500000.0,1869000000.0,26391000000.0,445845.28,0.883,578.0,64.71,6.0,0.6392,0.8141,0.3884,0.00444,0.01137,0.11644,4319.08,5510.09,3126.47
2016.0,7590800000.0,1109600000.0,96652.0,135700000.0,1809900000.0,26037000000.0,235762.77,0.8795,578.0,60.74,12.0,0.6821,0.8472,0.4359,0.00476,0.04748,0.12875,4377.03,3014.35,3097.06
2015.0,7433600000.0,1169500000.0,90106.0,141900000.0,1548300000.0,23194000000.0,376616.67,0.8681,562.0,59.0,6.0,0.7247,0.6537,0.2598,0.00221,0.03345,0.08582,4313.34,3559.14,3509.98
2014.0,7285500000.0,1175500000.0,86575.0,140500000.0,1410500000.0,22406000000.0,188887.62,0.8563,529.0,58.89,3.0,0.729,0.5587,0.1648,0.00073,0.02657,0.06266,4276.4,3826.58,3732.71
