shapeID,shapeName,class_-3_months_SPEI3,class_-2_months_SPEI3,class_-1_months_SPEI3,class_0_months_SPEI3,class_1_months_SPEI3,class_2_months_SPEI3,class_3_months_SPEI3,class_-3_months_SPEI6,class_-2_months_SPEI6,class_-1_months_SPEI6,class_0_months_SPEI6,class_1_months_SPEI6,class_2_months_SPEI6,class_3_months_SPEI6,class_-3_months_SPEI12,class_-2_months_SPEI12,class_-1_months_SPEI12,class_0_months_SPEI12,class_1_months_SPEI12,class_2_months_SPEI12,class_3_months_SPEI12,drought_resistance,ag_area_ha,geometry
10101003,Phường Ba Đình,17.0,18.0,42.0,269.0,35.0,33.0,17.0,12.0,23.0,35.0,278.0,44.0,25.0,14.0,11.0,11.0,42.0,272.0,65.0,26.0,4.0,0.2832320949741237,0.0,"POLYGON ((105.82021577737754 21.03552383810845, 105.8219726418458 21.041887020170748, 105.82819310783127 21.03959945300542, 105.83461418973621 21.041846847744804, 105.82908940317263 21.048910098235773, 105.83072585881666 21.050867623611133, 105.83654051279494 21.046466484201414, 105.84015687945391 21.05085421563568, 105.84994460774153 21.04073206947807, 105.84249788858128 21.02864794072026, 105.83273250081986 21.031488356309183, 105.83010162637089 21.030016881315603, 105.83360642129243 21.036651996547775, 105.82021577737754 21.03552383810845))"
10101004,Phường Ngọc Hà,17.0,18.0,42.0,269.0,35.0,33.0,17.0,12.0,23.0,35.0,278.0,44.0,25.0,14.0,11.0,11.0,42.0,272.0,65.0,26.0,4.0,0.2763948671710207,0.0,"POLYGON ((105.80612052642176 21.04755445873433, 105.8219726418458 21.041887020170748, 105.82021577737754 21.03552383810845, 105.83360642129243 21.036651996547775, 105.83150624190485 21.032915275053313, 105.8137901776474 21.033740200790447, 105.81381248245658 21.037954059034472, 105.80648616723371 21.037927329070303, 105.80612052642176 21.04755445873433))"
10101005,Phường Giảng Võ,17.0,18.0,42.0,269.0,35.0,33.0,17.0,12.0,23.0,35.0,278.0,44.0,25.0,14.0,11.0,11.0,42.0,272.0,65.0,26.0,4.0,0.2352892526718882,0.0,"POLYGON ((105.80125565551604 21.029936577364012, 105.80648616723371 21.037927329070303, 105.81381248245658 21.037954059034472, 105.81457057902529 21.033535091426064, 105.83111824481026 21.032152728284593, 105.81979215087095 21.02347978113832, 105.81594838248007 21.01608219812629, 105.81091852237192 21.018757607121408, 105.81206904233107 21.023591320087263, 105.80125565551604 21.029936577364012))"
10103014,Phường Hồng Hà,17.0,18.0,42.0,269.0,35.0,33.0,17.0,12.0,23.0,35.0,278.0,44.0,25.0,14.0,11.0,11.0,42.0,272.0,65.0,26.0,4.0,0.2889577226383564,102.6631701148508,"POLYGON ((105.81105234922376 21.067228001295415, 105.8178881278244 21.081470457101688, 105.82577631224514 21.088988435211686, 105.8402906378092 21.077408145077285, 105.84883873987309 21.054136117370916, 105.86319259582062 21.03321406651169, 105.87185662178884 21.012394459985607, 105.86528390346443 21.008515102633872, 105.86203772735075 21.009027813881413, 105.8588538791632 21.019096482881, 105.86197079555878 21.01860157965599, 105.86105221059876 21.022659338335814, 105.85068484314337 21.040076543195298, 105.84015687945391 21.05085421563568, 105.83654051279494 21.046466484201414, 105.83072585881666 21.050867623611133, 105.83458301324615 21.05731995024218, 105.82849635169953 21.06408886166668, 105.83182731884965 21.073470758830936, 105.8179728700913 21.07014878935942, 105.81579233660817 21.066055337379424, 105.81105234922376 21.067228001295415))"
10103028,Phường Tây Hồ,17.0,18.0,42.0,269.0,35.0,33.0,17.0,12.0,23.0,35.0,278.0,44.0,25.0,14.0,11.0,11.0,42.0,272.0,65.0,26.0,4.0,0.3034327571346963,0.0,"POLYGON ((105.7947543128505 21.050573339144265, 105.79990904261895 21.05542929756761, 105.7965781123357 21.058055661862998, 105.80696780740848 21.067549076883754, 105.8034673680225 21.067905866190973, 105.80411399349201 21.0729356484601, 105.81233212937711 21.071620218817394, 105.81105234922376 21.067228001295415, 105.81579233660817 21.066055337379424, 105.8179728700913 21.07014878935942, 105.83182731884965 21.073470758830936, 105.82849635169953 21.06408886166668, 105.83458301324615 21.05731995024218, 105.82908940317263 21.048910098235773, 105.83461418973621 21.041846847744804, 105.82819310783127 21.03959945300542, 105.80612052642176 21.04755445873433, 105.80908589250139 21.059848235235172, 105.80109066490327 21.0488565257126, 105.79820568184493 21.04717101945792, 105.7947543128505 21.050573339144265))"
10105001,Phường Hoàn Kiếm,17.0,18.0,42.0,269.0,35.0,33.0,17.0,12.0,23.0,35.0,278.0,44.0,25.0,14.0,11.0,11.0,42.0,272.0,65.0,26.0,4.0,0.2682519360775053,0.0,"POLYGON ((105.84379992526836 21.028300112907502, 105.84384902172003 21.03187631755202, 105.84527596012829 21.039425518172784, 105.84994460774153 21.04073206947807, 105.8601381101544 21.024893311077044, 105.85713716474386 21.02228479741128, 105.84379992526836 21.028300112907502))"
10105002,Phường Cửa Nam,17.0,18.0,42.0,269.0,35.0,33.0,17.0,12.0,23.0,35.0,278.0,44.0,25.0,14.0,11.0,11.0,42.0,272.0,65.0,26.0,4.0,0.3203153731755536,0.0,"POLYGON ((105.84143220166379 21.02065270357304, 105.8435858899828 21.029383683359903, 105.85070267262665 21.02382760417204, 105.85713716474386 21.02228479741128, 105.8601381101544 21.024893311077044, 105.86197079555878 21.01860157965599, 105.84143220166379 21.02065270357304))"
10106039,Phường Long Biên,19.0,28.0,59.0,294.0,56.0,46.0,18.0,16.0,33.0,51.0,306.0,67.0,33.0,16.0,13.0,22.0,58.0,310.0,83.0,28.0,7.0,0.3364457826415907,415.94632573534847,"POLYGON ((105.86793704852371 21.023132014689477, 105.87449641908674 21.027796255796762, 105.87691769970955 21.02694009053477, 105.88674113862584 21.044450945741787, 105.88183607556716 21.048580063317914, 105.88915352646634 21.056365662370013, 105.89669826344829 21.047077331515894, 105.89437951726862 21.04567278879039, 105.89879854845978 21.037360972473174, 105.91266186015841 21.030453801424144, 105.93476118316528 21.02467041997484, 105.93652701049344 21.020955953109663, 105.92583853947617 21.019787659201082, 105.92264132997168 21.01213141841228, 105.91985888484197 21.011984267559512, 105.9204474755868 21.0044082081921, 105.90337801468233 21.002517570726006, 105.89972601153264 20.994205778708217, 105.89246209692759 20.999891160966886, 105.87354658956231 21.00758310447919, 105.86793704852371 21.023132014689477))"
10106040,Phường Bồ Đề,19.0,28.0,59.0,294.0,56.0,46.0,18.0,16.0,33.0,51.0,306.0,67.0,33.0,16.0,13.0,22.0,58.0,310.0,83.0,28.0,7.0,0.2915353594721151,38.95737676092691,"POLYGON ((105.83565761970677 21.082250774549973, 105.84359036958469 21.08143030839127, 105.86453034903832 21.06681782621579, 105.87741708545596 21.07128579205408, 105.88172011988046 21.062800205475586, 105.87450089942523 21.061127974263663, 105.87229362843208 21.052811775533296, 105.87401487283084 21.049583419596352, 105.88318274397116 21.05413613284889, 105.88784696189293 21.05367237241815, 105.88183607556716 21.048580063317914, 105.88674113862584 21.044450945741787, 105.88242472654404 21.036647554100217, 105.87667692331173 21.02661458403324, 105.87449641908674 21.027796255796762, 105.87080877774851 21.023466413982312, 105.86793704852371 21.023132014689477, 105.84883873987309 21.054136117370916, 105.84239978599456 21.073622412435167, 105.83565761970677 21.082250774549973))"
10106041,Phường Việt Hưng,19.0,28.0,59.0,294.0,56.0,46.0,18.0,16.0,33.0,51.0,306.0,67.0,33.0,16.0,13.0,22.0,58.0,310.0,83.0,28.0,7.0,0.3109943544756055,84.04291867755417,"POLYGON ((105.87229362843208 21.052811775533296, 105.87450089942523 21.061127974263663, 105.88172011988046 21.062800205475586, 105.87741708545596 21.07128579205408, 105.89965915589086 21.082674395190562, 105.90245501460151 21.07852737364285, 105.91645213941673 21.076654572145877, 105.92325224726491 21.072882219730253, 105.93323173903302 21.05551841037193, 105.91215350785104 21.05419851335342, 105.91653235542326 21.042386412933002, 105.9150920576384 21.040000751616127, 105.90048409882175 21.050323592502398, 105.89669826344829 21.047077331515894, 105.89026823576941 21.055527390829827, 105.87401487283084 21.049583419596352, 105.87229362843208 21.052811775533296))"
