Year,Rice self-sufficiency rate,Meat self-sufficiency rate,Fish self-sufficiency rate,Rice import rate,Meat import rate,Fish import rate,Rice supplier concentration (HHI for import partners),Meat supplier concentration (HHI for import partners),Fish supplier concentration (HHI for import partners)
2014,0.729,0.5587,0.1648,0.00073,0.02657,0.06266,4276.4,3826.58,3732.71
2015,0.7247,0.6537,0.2598,0.00221,0.03345,0.08582,4313.34,3559.14,3509.98
2016,0.6821,0.8472,0.4359,0.00476,0.04748,0.12875,4377.03,3014.35,3097.06
2017,0.6392,0.8141,0.3884,0.00444,0.01137,0.11644,4319.08,5510.09,3126.47
2018,0.6198,0.7446,0.2866,0.0023,0.04825,0.09002,3922.79,2961.43,3189.56
2019,0.5983,0.6894,0.2982,0.00118,0.1489,0.08567,3796.51,2970.13,3407.47
2020,0.5999,0.7014,0.3044,0.00192,0.12703,0.08333,3879.4,2968.24,3524.56
2021,0.5825,0.6926,0.3471,0.01768,0.11541,0.10266,3244.98,2854.3,3308.66
2022,0.6354,0.6857,0.3932,0.01479,0.10629,0.12352,3361.43,2764.81,3075.69
2023,0.5836,0.7086,0.3797,0.0147,0.15515,0.12448,3193.89,2487.1,3017.13
2024,0.539,0.7056,0.392,0.01696,0.17543,0.12612,3049.04,2261.78,2977.92
