Year,Quarter,Month,Gross Regional Domestic Product (GRDP) growth
2014,1.0,1.0,6.59
2014,1.0,2.0,6.59
2014,1.0,3.0,6.59
2014,2.0,4.0,8.11
2014,2.0,5.0,8.11
2014,2.0,6.0,8.11
2014,3.0,7.0,9.14
2014,3.0,8.0,9.14
2014,3.0,9.0,9.14
2014,4.0,10.0,11.97
2014,4.0,11.0,11.97
2014,4.0,12.0,11.97
2015,1.0,1.0,7.55
2015,1.0,2.0,7.55
2015,1.0,3.0,7.55
2015,2.0,4.0,7.96
2015,2.0,5.0,7.96
2015,2.0,6.0,7.96
2015,3.0,7.0,9.24
2015,3.0,8.0,9.24
2015,3.0,9.0,9.24
2015,4.0,10.0,12.21
2015,4.0,11.0,12.21
2015,4.0,12.0,12.21
2016,1.0,1.0,6.95
2016,1.0,2.0,6.95
2016,1.0,3.0,6.95
2016,2.0,4.0,7.74
2016,2.0,5.0,7.74
2016,2.0,6.0,7.74
2016,3.0,7.0,8.59
2016,3.0,8.0,8.59
2016,3.0,9.0,8.59
2016,4.0,10.0,9.45
2016,4.0,11.0,9.45
2016,4.0,12.0,9.45
2017,1.0,1.0,7.06
2017,1.0,2.0,7.06
2017,1.0,3.0,7.06
2017,2.0,4.0,7.68
2017,2.0,5.0,7.68
2017,2.0,6.0,7.68
2017,3.0,7.0,8.96
2017,3.0,8.0,8.96
2017,3.0,9.0,8.96
2017,4.0,10.0,5.47
2017,4.0,11.0,5.47
2017,4.0,12.0,5.47
2018,1.0,1.0,6.98
2018,1.0,2.0,6.98
2018,1.0,3.0,6.98
2018,2.0,4.0,7.16
2018,2.0,5.0,7.16
2018,2.0,6.0,7.16
2018,3.0,7.0,7.3
2018,3.0,8.0,7.3
2018,3.0,9.0,7.3
2018,4.0,10.0,8.02
2018,4.0,11.0,8.02
2018,4.0,12.0,8.02
2019,1.0,1.0,6.95
2019,1.0,2.0,6.95
2019,1.0,3.0,6.95
2019,2.0,4.0,7.27
2019,2.0,5.0,7.27
2019,2.0,6.0,7.27
2019,3.0,7.0,7.85
2019,3.0,8.0,7.85
2019,3.0,9.0,7.85
2019,4.0,10.0,8.3
2019,4.0,11.0,8.3
2019,4.0,12.0,8.3
2020,1.0,1.0,4.13
2020,1.0,2.0,4.13
2020,1.0,3.0,4.13
2020,2.0,4.0,1.76
2020,2.0,5.0,1.76
2020,2.0,6.0,1.76
2020,3.0,7.0,3.95
2020,3.0,8.0,3.95
2020,3.0,9.0,3.95
2020,4.0,10.0,5.77
2020,4.0,11.0,5.77
2020,4.0,12.0,5.77
2021,1.0,1.0,6.43
2021,1.0,2.0,6.43
2021,1.0,3.0,6.43
2021,2.0,4.0,5.63
2021,2.0,5.0,5.63
2021,2.0,6.0,5.63
2021,3.0,7.0,-6.89
2021,3.0,8.0,-6.89
2021,3.0,9.0,-6.89
2021,4.0,10.0,6.69
2021,4.0,11.0,6.69
2021,4.0,12.0,6.69
2022,1.0,1.0,5.91
2022,1.0,2.0,5.91
2022,1.0,3.0,5.91
2022,2.0,4.0,8.22
2022,2.0,5.0,8.22
2022,2.0,6.0,8.22
2022,3.0,7.0,15.3
2022,3.0,8.0,15.3
2022,3.0,9.0,15.3
2022,4.0,10.0,6.76
2022,4.0,11.0,6.76
2022,4.0,12.0,6.76
2023,1.0,1.0,5.81
2023,1.0,2.0,5.81
2023,1.0,3.0,5.81
2023,2.0,4.0,5.91
2023,2.0,5.0,5.91
2023,2.0,6.0,5.91
2023,3.0,7.0,6.22
2023,3.0,8.0,6.22
2023,3.0,9.0,6.22
2023,4.0,10.0,7.0
2023,4.0,11.0,7.0
2023,4.0,12.0,7.0
2024,1.0,1.0,5.41
2024,1.0,2.0,5.41
2024,1.0,3.0,5.41
2024,2.0,4.0,6.8
2024,2.0,5.0,6.8
2024,2.0,6.0,6.8
2024,3.0,7.0,6.71
2024,3.0,8.0,6.71
2024,3.0,9.0,6.71
2024,4.0,10.0,7.01
2024,4.0,11.0,7.01
2024,4.0,12.0,7.01
