Name,Variable,Value
An Khánh,Multidimensional Poverty Index,0.67
Ba Đình,Multidimensional Poverty Index,0.22
Ba Vì,Multidimensional Poverty Index,0.37
Bạch Mai,Multidimensional Poverty Index,0.34
Bất Bạt,Multidimensional Poverty Index,0.37
Bát Tràng,Multidimensional Poverty Index,0.63
Bình Minh,Multidimensional Poverty Index,0.52
Bồ Đề,Multidimensional Poverty Index,0.35
Cầu Giấy,Multidimensional Poverty Index,0.43
Chương Dương,Multidimensional Poverty Index,0.54
Chương Mỹ,Multidimensional Poverty Index,0.35
Chuyên Mỹ,Multidimensional Poverty Index,0.84
Cổ Đô,Multidimensional Poverty Index,0.37
Cửa Nam,Multidimensional Poverty Index,0.18
Đa Phúc,Multidimensional Poverty Index,0.11
Đại Mỗ,Multidimensional Poverty Index,0.64
Đại Thanh,Multidimensional Poverty Index,0.2
Đại Xuyên,Multidimensional Poverty Index,0.83
Dân Hòa,Multidimensional Poverty Index,0.64
Đan Phượng,Multidimensional Poverty Index,0.57
Định Công,Multidimensional Poverty Index,0.38
Đoài Phương,Multidimensional Poverty Index,0.84
Đông Anh,Multidimensional Poverty Index,0.83
Đống Đa,Multidimensional Poverty Index,0.4
Đông Ngạc,Multidimensional Poverty Index,0.46
Dương Hòa,Multidimensional Poverty Index,0.68
Dương Nội,Multidimensional Poverty Index,0.62
Gia Lâm,Multidimensional Poverty Index,0.64
Giảng Võ,Multidimensional Poverty Index,0.31
Hạ Bằng,Multidimensional Poverty Index,0.51
Hà Đông,Multidimensional Poverty Index,0.55
Hai Bà Trưng,Multidimensional Poverty Index,0.31
Hát Môn,Multidimensional Poverty Index,0.75
Hòa Lạc,Multidimensional Poverty Index,0.55
Hòa Phú,Multidimensional Poverty Index,0.43
Hòa Xá,Multidimensional Poverty Index,0.82
Hoài Đức,Multidimensional Poverty Index,0.66
Hoàn Kiếm,Multidimensional Poverty Index,0.13
Hoàng Liệt,Multidimensional Poverty Index,0.35
Hoàng Mai,Multidimensional Poverty Index,0.48
Hồng Hà,Multidimensional Poverty Index,0.27
Hồng Sơn,Multidimensional Poverty Index,0.7
Hồng Vân,Multidimensional Poverty Index,0.51
Hưng Đạo,Multidimensional Poverty Index,0.44
Hương Sơn,Multidimensional Poverty Index,0.7
Khương Đình,Multidimensional Poverty Index,0.51
Kiến Hưng,Multidimensional Poverty Index,0.46
Kiều Phú,Multidimensional Poverty Index,0.44
Kim Anh,Multidimensional Poverty Index,0.03
Kim Liên,Multidimensional Poverty Index,0.38
