Title,Type of text,Primary subjects,Domain,Keywords,Year Enacted,Document Link,Available website,Language of document,Country/Territory,Repealed,Abstract,Date of Original Text
Decision No. 2629/1997/BYT-QD issuing the list of food commodities subject to the 1998 quality registration.,Regulation,Food & nutrition,Food & nutrition,agricultural commodities; registration; milk/dairy products; oils/oilseeds/fats; coffee/cocoa/tea; condiments/herbs/spices; meat; poultry products; sugar; cereals/grains/rice; vegetables/legumes; fruits/edible nuts; beverages; viticulture/oenological practices; mineral water; treated food,1997,http://www.fao.org/faolex/results/details/en/c/LEX-FAOC014299,,English,Viet Nam,,"The Decision contains a list of food commodities subject to the 1998 quality registration. Organizations and individuals of all economic sectors engaged in the production, processing and/or import of food commodities specified in the list shall have to make goods quality registration as prescribed in the Decision. The Department of Preventive Medicine shall control the implementation of the Decision. With particular reference to the list of aquatic food commodities subject to the 1998 quality registration, Decision No. 1606/QD-TDC of 21 October 1997 is to be applied (art. 1). ",13
Decision No. 980/1997/QD-TTg approving the salt production plan for the years 2000-2010.,Regulation,Food & nutrition,Food & nutrition,agricultural development; subsidy/incentive; condiments/herbs/spices,1997,http://www.fao.org/faolex/results/details/en/c/LEX-FAOC014301,,English,Viet Nam,Y,"Pursuant to the Law on the Organization of the Government of 1992, this Decision concerns the approval of the plan for salt production. The plan aims at the achievement of the following objectives: (a) to ensure sufficient supply of salt for daily consumption and exportation; (b) to promote the development of salt industry; (c) to expand the existing salt fields; (d) to allocate funds from the State budget; (e) to organize the salt production and distribution system under the State Salt Corporation according to the provisions of article 2. ",18
Ordinance on the Protection of Consumer Interests.,Regulation,Food & nutrition,Food & nutrition,food safety and quality; hygiene/sanitary procedures; consumer protection; fraud; internal trade,1999,http://www.fao.org/faolex/results/details/en/c/LEX-FAOC020182,,English,Viet Nam,Y,"This Ordinance sets out rights and responsibilities of consumers and the responsibilities of organizations and individuals in the production of goods and services, and provides for state supervision in relation with protection of interests of consumers. The last part of the act concerns the handling of complaints and offences in relation with consumer' interests. (30 articles) ",05/08/1999
Regulation on the labeling of goods to be circulated in the country and of export as well as import goods.,Regulation,Food & nutrition,Food & nutrition,food safety and quality; agricultural commodities; beverages; packaging/labelling,1999,http://www.fao.org/faolex/results/details/en/c/LEX-FAOC020189,,English,Viet Nam,Y,"This Regulation prescribes rules for the labelling of goods manufactured in Vietnam as well as imported goods. Goods here includes raw and processed foodstuffs, and essential commodities. Food and drinks that are ready-packed and are to be consumed within 24 hours shall not be governed by the present Regulations. Chapter II contains provisions relative to the description of contents of goods, their duration, composition, etc. Chapter III concerns state control of labelling, whereas Chapter IV prescribes offences and penalties. (19 articles) ",30
Regulation on the State Control of import-export goods quality control.,Regulation,Food & nutrition,Food & nutrition,food safety and quality; international trade; inspection; standards,1999,http://www.fao.org/faolex/results/details/en/c/LEX-FAOC020197,,English,Viet Nam,,"This Regulation prescribes methods and procedures of State control of the quality of goods imported in or exported from Vietnam as well as the powers of authorities involved. The Regulation shall apply to goods specified in the List of Goods subject to State Quality Control issued by the Ministry of Science, Technology and the Environment. For goods controlled there shall be issued a certificate of the controlling agency pursuant to section 1.5. Goods that are already conform a Vietnamese Standard or a recognised foreign standard shall be exempt from control. Powers and responsibilities of State agencies involved in control are specified in Part 2. Part 3 contains rules relative to procedures and methods of control. ",22
"Decision No. 228/1999/QD-TTg adding the objective of ensuring foodstuff quality, hygiene and safety to the National Target Program for Elimination of a Number of Social Diseases and Dangerous Epedemics.",Regulation,Food & nutrition,Food & nutrition,food safety and quality; hygiene/sanitary procedures; policy/planning; toxicity/poisoning,1999,http://www.fao.org/faolex/results/details/en/c/LEX-FAOC020295,,English,Viet Nam,,This Decision places food hygiene and quality on the list of targets for the elimination of diseases affecting the population. The objective is to control food contamination and supervise food quality. The Ministry of Health shall direct the Steering Committee of the national Target program for the Elimination of a Number of Social Diseases and Dangerous Epidemics to select key projects in accordance with selected targets. ,15
Circular No. 34/1999/TT-BTM guiding the implementation of the Prime Minister's Decision No. 178/1999/QD-TTg issuing the Regulation on the labeling of goods to be circulated in the country and of export as well as import goods.,Miscellaneous,Food & nutrition,Food & nutrition,food safety and quality; packaging/labelling,1999,http://www.fao.org/faolex/results/details/en/c/LEX-FAOC020297,,English,Viet Nam,,"This Circular further clarifies and complements the Regulation prescribes rules for the labelling of goods manufactured in Vietnam as well as imported goods. Goods here includes raw and processed foodstuffs, and essential commodities. The Circular prescribes rule relative to the description of contents of goods in labels, including indications of appellation, name and address of trader, quantity, ingredients, origin, and quality indication criteria. As far as the last indication is concerned, merchants shall describe on the label the technical parameters and quantitative indicators of the major quality criteria. ",15
Ordinance on goods quality control (No. 18/1999/PL-UBTVQH10).,Regulation,Food & nutrition,Food & nutrition,food safety and quality; inspection; certification; fraud,1999,http://www.fao.org/faolex/results/details/en/c/LEX-FAOC020303,,English,Viet Nam,Y,"This Ordinance makes provision for the control of the quality of goods in general, quality certification, quality standards, and quality control systems, and inspection of quality of goods. The Government shall promulgate the Vietnamese Standard on goods quality under Chapter II. Food shall be compulsorily conform to prescribed standards (sect. 12). Chapter II concerns certification of quality and quality control systems. Chapter IV sets out the responsibilities of producers and traders in relation with the quality of goods. Chapters V and VI provide for the supervision and control by the State of quality of goods, including inspection and examination of goods. Remaining provisions prescribe offences and penalties. ",1999
Decision No. 244/1998/QD-TTg issuing the Regulation on operation of the Management Board of the National Target Program for Hunger Eradication and Poverty Alleviation.,Regulation,Food & nutrition,Food & nutrition,food security; institution; governance,1998,http://www.fao.org/faolex/results/details/en/c/LEX-FAOC020321,,English,Viet Nam,,"This Regulation lays down the principles of the Management Board of the National Target Program for Hunger Eradication and Povert Alleviation and defines the tasks assigned to it. The Board was established by Decision No. 80/1998/QD-TTg of 9 April, 1998. ",19
Decision No. 03/1999/QD-CDTQG promulgating the Regulation on bidding purchase and sale of national food reserve.,Regulation,Food & nutrition,Food & nutrition,food security,1999,http://www.fao.org/faolex/results/details/en/c/LEX-FAOC020341,,English,Viet Nam,,This Decision of the National Reserves Department concerns regulation of bidding for the purchase of national food reserves to be organized by sub-departments of the National Reserves Department. The sale shall take place pursuant to Decisions of the National Reserves Department under Circular 02/1999/TT-CDTQG of 12 January 1999. ,01/12/1999
Decision No. 20/1999/QD-TTg on the establishment and promulgation of the operation regulation of the Steering Board for the Management of Rice Export and Fertilizer Import.,Regulation,Food & nutrition,Food & nutrition; Cultivated plants,cereals/grains/rice; agricultural commodities; international trade; fertilizers/nutrients; plant production,1999,http://www.fao.org/faolex/results/details/en/c/LEX-FAOC020344,,English,Viet Nam,,This Decision of the Prime Minister established the Steering Board for the Management of Rice Export and Fertilizer Import. The Board shall be headed by the Vice Minister of Trade. ,13
Decision No. 18/1999/QD-BNN-TCCB to additionally assign the task of disinfecting to the Coffee Research and Quality Control Centre.,Regulation,Food & nutrition,Food & nutrition,food safety and quality; treated food; agricultural commodities; coffee/cocoa/tea; hygiene/sanitary procedures; beverages,1999,http://www.fao.org/faolex/results/details/en/c/LEX-FAOC020595,,English,Viet Nam,,"The task of providing disinfecting services for import and export coffee in warehouses, containers and land transport is assigned to the Coffee Research and Quality Control Centre. The Head of the Plant Protection Department shall provide professional guidance and grant a license to disinfect to the Centre. The Director of the Centre shall implement this Decision and register disinfecting operations. (3 articles) ",25
"Directive No. 008/1999/CT-TTg on enhancing the foodstuff quality, hygiene and safe guarantee.",Miscellaneous,Food & nutrition,Food & nutrition,food safety and quality; hygiene/sanitary procedures; inspection,1999,http://www.fao.org/faolex/results/details/en/c/LEX-FAOC020671,,English,Viet Nam,,"This instruction of the Prime Minister seeks to put an end to the insufficient control of food quality and hygiene and to restore discipline in the food production and food catering services. Every year a month of action for foodstuff quality, hygiene and safety shall be organized to mobilise the population and authorities to take part in prevention and combating food poisoning and diseases caused by food. The Directive also prescribes tasks of the Presidents of People's Committees of provinces and centrally run cities in relation with information of food quality and hygiene, inspection, handling of violations, etc. Also tasks and responsibilities of Ministries and their branch offices are defined. ",15
Circular No. 33/1999/TT-BTC guiding the management and allocation of non-business funds for the National Program for Hunger Elimination and Poverty Alleviation.,Miscellaneous,Food & nutrition,Food & nutrition,food security; policy/planning,1999,http://www.fao.org/faolex/results/details/en/c/LEX-FAOC020672,,English,Viet Nam,,The Central budget shall annually allocate a fund necessary for achieving the targets of the Program. Funds from non-business sources shall be channelled through the Ministry of Finance to Ministries and agencies taking part in the Program and by Finance and Pricing Offices of the provinces and centrally-run cities under the authorization of the Ministry of Finance to performs tasks under the Program in the relevant areas. ,29
Decree No. 19/1999/ND-CP on the production and supply of iodised salt for human use.,Regulation,Food & nutrition,Food & nutrition,food safety and quality; condiments/herbs/spices; standards; authorization/permit,1999,http://www.fao.org/faolex/results/details/en/c/LEX-FAOC020841,,English,Viet Nam,,"This Decree regulates the production and placing on the market of edible salt, excluding non-iodised salt. Edible salt and salt used for preparation of food shall be mixed with iodine according to prescribed standards. The Ministry of Agriculture shall plan and coordinate slat production in accordance with article 5. Chapter II prescribes criteria for the production of edible salt including conditions that production establishment shall meet. Chapter III defines the competence to grant certificates for salt production and procedures for granting such certificates. Provisions of Chapter IV and V concern packing and labelling, control of quality and other inspections and the punishment of the specified offences. (24 articles) ",04/10/1999
Decision No. 650/2000/QD-BTS promulgating the Regulation on the State Inspection and Certification of Aquatic Goods Quality.,Regulation,Food & nutrition,Food & nutrition,food safety and quality; inspection; certification,2000,http://www.fao.org/faolex/results/details/en/c/LEX-FAOC022661,,English,Viet Nam,Y,"This Regulation prescribes the mode, contents and procedures of inspection and certification of the quality of aquatic products, and, in relation to this, defines duties and powers of State inspection agencies. It applies to all aquatic products, whether intended for exportation or domestic consumption, and to imported products. Inspecting agencies are appointed by the Ministry of Science, Technology and Environment and the Ministry of Aquatic Resources. Products originating from specified establishment shall be exempt from inspection (art. 4). Products shall not be exported, imported or domestically consumed without a quality certificate or a quality inspection exemption (art. 5). Articles 6 to 8 define duties and powers of owners of products and inspecting agencies. Articles 9 to 13 define the contents and procedures of inspection and the notification of inspection results. Remaining provisions deal with charges and fees, settlement of complaints and handling of violations. (18 articles) ",08/04/2000
