Year,Quarter,Month,Food Consumer Price Index (CPI) Year-on-Year change
2014,1.0,1.0,104.51
2014,1.0,2.0,102.98
2014,1.0,3.0,103.48
2014,2.0,4.0,104.49
2014,2.0,5.0,104.41
2014,2.0,6.0,104.12
2014,3.0,7.0,104.04
2014,3.0,8.0,103.62
2014,3.0,9.0,103.34
2014,4.0,10.0,102.45
2014,4.0,11.0,101.87
2014,4.0,12.0,101.87
2015,1.0,1.0,101.5
2015,1.0,2.0,100.9
2015,1.0,3.0,101.9
2015,2.0,4.0,101.0
2015,2.0,5.0,101.2
2015,2.0,6.0,101.0
2015,3.0,7.0,101.1
2015,3.0,8.0,101.1
2015,3.0,9.0,100.9
2015,4.0,10.0,100.9
2015,4.0,11.0,100.9
2015,4.0,12.0,101.0
2016,1.0,1.0,100.8
2016,1.0,2.0,102.8
2016,1.0,3.0,101.7
2016,2.0,4.0,102.5
2016,2.0,5.0,103.0
2016,2.0,6.0,103.5
2016,3.0,7.0,103.2
2016,3.0,8.0,102.6
2016,3.0,9.0,102.8
2016,4.0,10.0,103.0
2016,4.0,11.0,103.5
2016,4.0,12.0,103.3
2017,1.0,1.0,102.6
2017,1.0,2.0,99.9
2017,1.0,3.0,99.8
2017,2.0,4.0,99.2
2017,2.0,5.0,97.6
2017,2.0,6.0,97.7
2017,3.0,7.0,99.2
2017,3.0,8.0,99.2
2017,3.0,9.0,99.1
2017,4.0,10.0,99.2
2017,4.0,11.0,98.2
2017,4.0,12.0,97.7
2018,1.0,1.0,99.4
2018,1.0,2.0,101.7
2018,1.0,3.0,101.7
2018,2.0,4.0,101.0
2018,2.0,5.0,103.8
2018,2.0,6.0,106.2
2018,3.0,7.0,105.9
2018,3.0,8.0,105.9
2018,3.0,9.0,106.2
2018,4.0,10.0,105.7
2018,4.0,11.0,106.1
2018,4.0,12.0,106.6
2019,1.0,1.0,107.3
2019,1.0,2.0,105.9
2019,1.0,3.0,105.2
2019,2.0,4.0,105.3
2019,2.0,5.0,103.9
2019,2.0,6.0,104.0
2019,3.0,7.0,103.4
2019,3.0,8.0,102.4
2019,3.0,9.0,102.3
2019,4.0,10.0,103.5
2019,4.0,11.0,106.0
2019,4.0,12.0,110.1
2020,1.0,1.0,110.87
2020,1.0,2.0,109.79
2020,1.0,3.0,110.4
2020,2.0,4.0,112.86
2020,2.0,5.0,112.06
2020,2.0,6.0,110.87
2020,3.0,7.0,110.85
2020,3.0,8.0,110.82
2020,3.0,9.0,109.92
2020,4.0,10.0,108.37
2020,4.0,11.0,105.29
2020,4.0,12.0,101.18
2021,1.0,1.0,100.49
2021,1.0,2.0,101.07
2021,1.0,3.0,100.28
2021,2.0,4.0,98.81
2021,2.0,5.0,99.16
2021,2.0,6.0,98.57
2021,3.0,7.0,98.84
2021,3.0,8.0,100.83
2021,3.0,9.0,101.22
2021,4.0,10.0,100.0
2021,4.0,11.0,100.87
2021,4.0,12.0,101.79
2022,1.0,1.0,100.56
2022,1.0,2.0,101.14
2022,1.0,3.0,102.8
2022,2.0,4.0,101.84
2022,2.0,5.0,102.55
2022,2.0,6.0,103.87
2022,3.0,7.0,105.78
2022,3.0,8.0,104.28
2022,3.0,9.0,104.41
2022,4.0,10.0,106.2
2022,4.0,11.0,105.59
2022,4.0,12.0,105.13
2023,1.0,1.0,106.36
2023,1.0,2.0,104.0
2023,1.0,3.0,103.4
2023,2.0,4.0,104.16
2023,2.0,5.0,103.83
2023,2.0,6.0,103.23
2023,3.0,7.0,101.66
2023,3.0,8.0,101.6
2023,3.0,9.0,102.05
2023,4.0,10.0,102.13
2023,4.0,11.0,102.48
2023,4.0,12.0,102.71
2024,1.0,1.0,101.89
2024,1.0,2.0,103.95
2024,1.0,3.0,103.45
2024,2.0,4.0,103.49
2024,2.0,5.0,103.6
2024,2.0,6.0,103.45
2024,3.0,7.0,103.13
2024,3.0,8.0,102.87
2024,3.0,9.0,103.91
2024,4.0,10.0,104.25
2024,4.0,11.0,103.2
2024,4.0,12.0,102.81
