ma_xa,cap,stt,dtich_km2,dan_so,matdo_km2,Cnt_Count_healthy,density_healthyout,cnt_Count_Unhealthy,density_unhealthyout,Count_Mixoutlets,density_mixoutlets,ratio_obesogenic
09877,2,105,28.69,102136,3559.99,0.0,0.0,11.0,0.383,0.0,0.0,100
00004,2,3,2.97,65023,21893.27,5.0,1.684,134.0,45.118,91.0,30.64,27
09700,2,85,81.27,26651,327.93,0.0,0.0,4.0,0.049,2.0,0.025,100
00292,2,8,2.95,129571,43922.37,4.0,1.356,94.0,31.864,18.0,6.102,24
09676,2,83,56.43,40066,710.01,0.0,0.0,0.0,0.0,1.0,0.018,100
00577,2,111,20.67,48987,2369.96,2.0,0.097,2.0,0.097,2.0,0.097,1
10126,2,62,29.86,80066,2681.38,1.0,0.033,9.0,0.301,1.0,0.033,9
00118,2,40,12.94,120028,9275.73,8.0,0.618,60.0,4.637,31.0,2.396,8
00166,2,25,3.74,74516,19924.06,7.0,1.872,89.0,23.797,59.0,15.775,13
10237,2,55,28.89,59973,2075.91,0.0,0.0,0.0,0.0,0.0,0.0,100
10015,2,73,38.9,87913,2259.97,9.0,0.231,10.0,0.257,1.0,0.026,1
10330,2,59,35.54,44859,1262.21,0.0,0.0,0.0,0.0,1.0,0.028,100
09634,2,82,53.25,70706,1327.81,1.0,0.019,0.0,0.0,0.0,0.0,0
00082,2,2,1.68,52751,31399.4,3.0,1.786,105.0,62.5,125.0,74.405,35
00430,2,123,55.32,83649,1512.09,0.0,0.0,0.0,0.0,0.0,0.0,100
00637,2,38,8.1,80462,9933.58,1.0,0.123,33.0,4.074,5.0,0.617,33
00664,2,49,18.92,92557,4892.02,0.0,0.0,6.0,0.317,1.0,0.053,100
10342,2,60,51.66,74906,1449.98,0.0,0.0,1.0,0.019,1.0,0.019,100
10180,2,64,38.43,62755,1632.97,0.0,0.0,2.0,0.052,0.0,0.0,100
09784,2,106,15.3,47629,3113.01,0.0,0.0,3.0,0.196,2.0,0.131,100
00316,2,19,5.34,85502,16011.61,4.0,0.749,25.0,4.682,6.0,1.124,6
