Year,Quarter,Month,Diesel price,Diesel price change
2014,1.0,1.0,22908.39,6.3
2014,1.0,2.0,22677.14,5.23
2014,1.0,3.0,22791.61,5.54
2014,2.0,4.0,22624.0,4.52
2014,2.0,5.0,22680.0,6.73
2014,2.0,6.0,19975.67,-6.71
2014,3.0,7.0,20986.77,-4.9
2014,3.0,8.0,22213.87,-0.43
2014,3.0,9.0,21692.0,0.72
2014,4.0,10.0,20941.61,-2.37
2014,4.0,11.0,21077.0,-1.74
2014,4.0,12.0,20117.1,-9.1
2015,1.0,1.0,16344.19,-28.65
2015,1.0,2.0,15170.0,-33.1
2015,1.0,3.0,13764.84,-39.61
2015,2.0,4.0,13902.67,-38.55
2015,2.0,5.0,14754.19,-34.95
2015,2.0,6.0,16406.0,-17.87
2015,3.0,7.0,15531.94,-25.99
2015,3.0,8.0,14151.61,-36.29
2015,3.0,9.0,13619.33,-37.21
2015,4.0,10.0,13905.16,-33.6
2015,4.0,11.0,14723.67,-30.14
2015,4.0,12.0,12819.03,-36.28
2016,1.0,1.0,11233.55,-31.27
2016,1.0,2.0,10200.0,-32.76
2016,1.0,3.0,9702.9,-29.51
2016,2.0,4.0,11111.33,-20.08
2016,2.0,5.0,11604.52,-21.35
2016,2.0,6.0,11663.0,-28.91
2016,3.0,7.0,12290.0,-20.87
2016,3.0,8.0,12130.65,-14.28
2016,3.0,9.0,12034.67,-11.64
2016,4.0,10.0,12548.06,-9.76
2016,4.0,11.0,12812.0,-12.98
2016,4.0,12.0,12860.0,0.32
2017,1.0,1.0,13685.81,21.83
2017,1.0,2.0,14142.14,38.65
2017,1.0,3.0,13961.61,43.89
2017,2.0,4.0,14052.67,26.47
2017,2.0,5.0,13765.81,18.62
2017,2.0,6.0,13771.0,18.07
2017,3.0,7.0,13019.68,5.94
2017,3.0,8.0,13320.0,9.8
2017,3.0,9.0,13730.67,14.09
2017,4.0,10.0,14428.39,14.98
2017,4.0,11.0,14630.0,14.19
2017,4.0,12.0,15010.0,16.72
2018,1.0,1.0,15491.29,13.19
2018,1.0,2.0,15881.43,12.3
2018,1.0,3.0,15710.0,12.52
2018,2.0,4.0,15842.67,12.74
2018,2.0,5.0,17008.71,23.56
2018,2.0,6.0,17212.33,24.99
2018,3.0,7.0,17365.48,33.38
2018,3.0,8.0,17305.16,29.92
2018,3.0,9.0,17826.67,29.83
2018,4.0,10.0,18278.06,26.68
2018,4.0,11.0,18283.33,24.97
2018,4.0,12.0,17051.61,13.6
2019,1.0,1.0,15532.26,0.26
2019,1.0,2.0,15794.29,-0.55
2019,1.0,3.0,15333.55,-2.4
2019,2.0,4.0,16569.33,4.59
2019,2.0,5.0,17491.29,2.84
2019,2.0,6.0,17162.0,-0.29
2019,3.0,7.0,16814.52,-3.17
2019,3.0,8.0,16731.61,-3.31
2019,3.0,9.0,16265.0,-8.76
2019,4.0,10.0,16204.84,-11.34
2019,4.0,11.0,16002.67,-12.47
2019,4.0,12.0,16038.39,-5.94
2020,1.0,1.0,16536.13,6.46
2020,1.0,2.0,15586.9,-1.31
2020,1.0,3.0,13648.06,-10.99
2020,2.0,4.0,10904.0,-34.19
2020,2.0,5.0,9999.68,-42.83
2020,2.0,6.0,10922.67,-36.36
2020,3.0,7.0,12146.13,-27.76
2020,3.0,8.0,12320.65,-26.36
2020,3.0,9.0,11820.0,-27.33
2020,4.0,10.0,11134.52,-31.29
2020,4.0,11.0,11571.33,-27.69
2020,4.0,12.0,11506.77,-28.25
2021,1.0,1.0,12499.68,-24.41
2021,1.0,2.0,13154.29,-15.61
2021,1.0,3.0,13904.52,1.88
2021,2.0,4.0,14250.67,30.69
2021,2.0,5.0,14392.58,43.93
2021,2.0,6.0,14993.33,37.27
2021,3.0,7.0,16151.94,32.98
2021,3.0,8.0,16232.58,31.75
2021,3.0,9.0,15844.0,34.04
2021,4.0,10.0,16564.19,48.76
2021,4.0,11.0,16660.0,43.98
2021,4.0,12.0,16624.84,44.48
2022,1.0,1.0,21811.94,74.5
2022,1.0,2.0,19442.86,47.81
2022,1.0,3.0,22300.97,60.39
2022,2.0,4.0,25216.67,76.95
2022,2.0,5.0,25331.29,76.0
2022,2.0,6.0,27962.0,86.5
2022,3.0,7.0,28179.03,74.46
2022,3.0,8.0,24495.16,50.9
2022,3.0,9.0,23343.33,47.33
2022,4.0,10.0,23328.39,40.84
2022,4.0,11.0,24542.67,47.31
2022,4.0,12.0,22628.06,36.11
2023,1.0,1.0,21440.65,-1.7
2023,1.0,2.0,21868.93,12.48
2023,1.0,3.0,19677.42,-11.76
2023,2.0,4.0,18770.0,-25.57
2023,2.0,5.0,20288.39,-19.91
2023,2.0,6.0,18023.33,-35.54
2023,3.0,7.0,19091.94,-32.25
2023,3.0,8.0,20511.29,-16.26
2023,3.0,9.0,22763.33,-2.48
2023,4.0,10.0,23590.0,1.12
2023,4.0,11.0,20753.0,-15.44
2023,4.0,12.0,19159.35,-15.33
2024,1.0,1.0,20269.03,-5.46
2024,1.0,2.0,20832.41,-4.74
2024,1.0,3.0,20327.1,3.3
2024,2.0,4.0,20950.0,11.61
2024,2.0,5.0,19704.84,-2.88
2024,2.0,6.0,19912.0,10.48
2024,3.0,7.0,20074.84,5.15
2024,3.0,8.0,19347.74,-5.67
2024,3.0,9.0,18614.0,-18.23
2024,4.0,10.0,18055.81,-23.46
2024,4.0,11.0,19518.0,-5.95
2024,4.0,12.0,18460.65,-3.65
