Year,Paddy production,Fishery production,Number of cows,Number of pigs,Number of poultry,Meat production
2014,1175500000.0,86575.0,140500000.0,1410500000.0,22406000000.0,188887.62
2015,1169500000.0,90106.0,141900000.0,1548300000.0,23194000000.0,376616.67
2016,1109600000.0,96652.0,135700000.0,1809900000.0,26037000000.0,235762.77
2017,1051100000.0,99691.0,129500000.0,1869000000.0,26391000000.0,445845.28
2018,1024600000.0,106211.0,136000000.0,1771900000.0,28008000000.0,262076.76
2019,969400000.0,112637.0,128900000.0,979900000.0,33517000000.0,392909.0
2020,973500000.0,116090.0,130400000.0,1097100000.0,35280000000.0,229628.8
2021,983800000.0,119595.0,130300000.0,1185100000.0,35721000000.0,399996.0
2022,952500000.0,123377.0,129600000.0,1261300000.0,35700000000.0,248380.6
2023,939300000.0,127625.0,127100000.0,1306600000.0,36489000000.0,425411.0
2024,862800000.0,132128.0,120400000.0,1279800000.0,37383000000.0,439246.0
