Pillar,Year,Quarter,Index,SOS,Residual
1,2024,4,1.786420967,1.743568971,0.042851996
1,2024,3,1.786420967,1.736069385,0.050351582
1,2024,2,1.786420967,1.728569799,0.057851168
1,2024,1,1.786420967,1.721070214,0.065350754
1,2023,4,1.741278856,1.713570628,0.027708228
1,2023,3,1.741278856,1.706071042,0.035207814
1,2023,2,1.741278856,1.698571456,0.0427074
1,2023,1,1.741278856,1.69107187,0.050206985
1,2022,4,1.776016841,1.683572285,0.092444556
1,2022,3,1.776016841,1.676072699,0.099944142
1,2022,2,1.776016841,1.668573113,0.107443728
1,2022,1,1.776016841,1.661073527,0.114943314
1,2021,4,1.526672909,1.653573942,-0.126901032
1,2021,3,1.526672909,1.646074356,-0.119401446
1,2021,2,1.526672909,1.63857477,-0.111901861
1,2021,1,1.526672909,1.631075184,-0.104402275
1,2020,4,1.468201945,1.623575598,-0.155373653
1,2020,3,1.468201945,1.616076013,-0.147874068
1,2020,2,1.468201945,1.608576427,-0.140374482
1,2020,1,1.468201945,1.601076841,-0.132874896
1,2019,4,1.561522186,1.593577255,-0.032055069
1,2019,3,1.561522186,1.58607767,-0.024555484
1,2019,2,1.561522186,1.578578084,-0.017055898
1,2019,1,1.561522186,1.571078498,-0.009556312
1,2018,4,1.506494124,1.563578912,-0.057084788
1,2018,3,1.506494124,1.556079326,-0.049585202
1,2018,2,1.506494124,1.548579741,-0.042085617
1,2018,1,1.506494124,1.541080155,-0.034586031
1,2017,4,1.576506648,1.533580569,0.042926079
1,2017,3,1.576506648,1.526080983,0.050425665
1,2017,2,1.576506648,1.518581397,0.057925251
1,2017,1,1.576506648,1.511081812,0.065424837
1,2016,4,1.582907624,1.503582226,0.079325398
1,2016,3,1.582907624,1.49608264,0.086824984
1,2016,2,1.582907624,1.488583054,0.09432457
1,2016,1,1.582907624,1.481083469,0.101824156
1,2015,4,1.384932026,1.473583883,-0.088651856
1,2015,3,1.384932026,1.466084297,-0.081152271
1,2015,2,1.384932026,1.458584711,-0.073652685
1,2015,1,1.384932026,1.451085125,-0.066153099
1,2014,4,1.494652515,1.44358554,0.051066976
1,2014,3,1.494652515,1.436085954,0.058566562
1,2014,2,1.494652515,1.428586368,0.066066147
1,2014,1,1.494652515,1.421086782,0.073565733
2,2024,4,1.625000794,1.731949189,-0.106948395
2,2024,3,1.625000794,1.722804768,-0.097803974
2,2024,2,1.625000794,1.713660348,-0.088659554
2,2024,1,1.625000794,1.704515928,-0.079515134
2,2023,4,1.620733733,1.695371507,-0.074637774
2,2023,3,1.620733733,1.686227087,-0.065493353
2,2023,2,1.620733733,1.677082666,-0.056348933
2,2023,1,1.620733733,1.667938246,-0.047204513
2,2022,4,1.569673406,1.658793826,-0.089120419
2,2022,3,1.569673406,1.649649405,-0.079975999
2,2022,2,1.569673406,1.640504985,-0.070831578
2,2022,1,1.569673406,1.631360564,-0.061687158
2,2021,4,1.708551027,1.622216144,0.086334883
2,2021,3,1.708551027,1.613071724,0.095479303
2,2021,2,1.708551027,1.603927303,0.104623724
2,2021,1,1.708551027,1.594782883,0.113768144
2,2020,4,1.663538698,1.585638462,0.077900236
2,2020,3,1.663538698,1.576494042,0.087044656
2,2020,2,1.663538698,1.567349622,0.096189076
2,2020,1,1.663538698,1.558205201,0.105333497
2,2019,4,1.621452622,1.549060781,0.072391841
2,2019,3,1.621452622,1.539916361,0.081536261
2,2019,2,1.621452622,1.53077194,0.090680682
2,2019,1,1.621452622,1.52162752,0.099825102
2,2018,4,1.551386825,1.512483099,0.038903726
2,2018,3,1.551386825,1.503338679,0.048048146
2,2018,2,1.551386825,1.494194259,0.057192567
2,2018,1,1.551386825,1.485049838,0.066336987
2,2017,4,1.521968888,1.475905418,0.04606347
2,2017,3,1.521968888,1.466760997,0.055207891
2,2017,2,1.521968888,1.457616577,0.064352311
2,2017,1,1.521968888,1.448472157,0.073496732
2,2016,4,1.468627565,1.439327736,0.029299829
2,2016,3,1.468627565,1.430183316,0.03844425
2,2016,2,1.468627565,1.421038895,0.04758867
2,2016,1,1.468627565,1.411894475,0.05673309
2,2015,4,1.347846809,1.402750055,-0.054903246
2,2015,3,1.347846809,1.393605634,-0.045758825
2,2015,2,1.347846809,1.384461214,-0.036614405
2,2015,1,1.347846809,1.375316794,-0.027469985
2,2014,4,1.190005285,1.366172373,-0.176167088
2,2014,3,1.190005285,1.357027953,-0.167022668
2,2014,2,1.190005285,1.347883532,-0.157878247
2,2014,1,1.190005285,1.338739112,-0.148733827
3,2024,4,1.762972725,1.630302474,0.132670251
3,2024,3,1.490919373,1.633752578,-0.142833205
3,2024,2,1.65307634,1.637202682,0.015873658
3,2024,1,1.716707709,1.640652786,0.076054922
3,2023,4,1.813976352,1.64410289,0.169873461
3,2023,3,1.8171887,1.647552994,0.169635706
3,2023,2,1.770163129,1.651003098,0.11916003
3,2023,1,1.771580288,1.654453203,0.117127085
3,2022,4,1.635957042,1.657903307,-0.021946265
3,2022,3,1.683672009,1.661353411,0.022318598
3,2022,2,1.538509809,1.664803515,-0.126293706
3,2022,1,1.581555162,1.668253619,-0.086698456
3,2021,4,1.673885102,1.671703723,0.002181379
3,2021,3,1.439632533,1.675153827,-0.235521294
3,2021,2,1.642200615,1.678603931,-0.036403316
