Year,Quarter,Month,Food Consumer Price Index (CPI) Year-on-Year change,Diesel price,Diesel price change,Gross Regional Domestic Product (GRDP) growth
2024.0,4.0,12.0,102.81,18460.65,-3.65,7.01
2024.0,4.0,11.0,103.2,19518.0,-5.95,7.01
2024.0,4.0,10.0,104.25,18055.81,-23.46,7.01
2024.0,3.0,9.0,103.91,18614.0,-18.23,6.71
2024.0,3.0,8.0,102.87,19347.74,-5.67,6.71
2024.0,3.0,7.0,103.13,20074.84,5.15,6.71
2024.0,2.0,6.0,103.45,19912.0,10.48,6.8
2024.0,2.0,5.0,103.6,19704.84,-2.88,6.8
2024.0,2.0,4.0,103.49,20950.0,11.61,6.8
2024.0,1.0,3.0,103.45,20327.1,3.3,5.41
2024.0,1.0,2.0,103.95,20832.41,-4.74,5.41
2024.0,1.0,1.0,101.89,20269.03,-5.46,5.41
2023.0,4.0,12.0,102.71,19159.35,-15.33,7.0
2023.0,4.0,11.0,102.48,20753.0,-15.44,7.0
2023.0,4.0,10.0,102.13,23590.0,1.12,7.0
2023.0,3.0,9.0,102.05,22763.33,-2.48,6.22
2023.0,3.0,8.0,101.6,20511.29,-16.26,6.22
2023.0,3.0,7.0,101.66,19091.94,-32.25,6.22
2023.0,2.0,6.0,103.23,18023.33,-35.54,5.91
2023.0,2.0,5.0,103.83,20288.39,-19.91,5.91
2023.0,2.0,4.0,104.16,18770.0,-25.57,5.91
2023.0,1.0,3.0,103.4,19677.42,-11.76,5.81
2023.0,1.0,2.0,104.0,21868.93,12.48,5.81
2023.0,1.0,1.0,106.36,21440.65,-1.7,5.81
2022.0,4.0,12.0,105.13,22628.06,36.11,6.76
2022.0,4.0,11.0,105.59,24542.67,47.31,6.76
2022.0,4.0,10.0,106.2,23328.39,40.84,6.76
2022.0,3.0,9.0,104.41,23343.33,47.33,15.3
2022.0,3.0,8.0,104.28,24495.16,50.9,15.3
2022.0,3.0,7.0,105.78,28179.03,74.46,15.3
2022.0,2.0,6.0,103.87,27962.0,86.5,8.22
2022.0,2.0,5.0,102.55,25331.29,76.0,8.22
2022.0,2.0,4.0,101.84,25216.67,76.95,8.22
2022.0,1.0,3.0,102.8,22300.97,60.39,5.91
2022.0,1.0,2.0,101.14,19442.86,47.81,5.91
2022.0,1.0,1.0,100.56,21811.94,74.5,5.91
2021.0,4.0,12.0,101.79,16624.84,44.48,6.69
2021.0,4.0,11.0,100.87,16660.0,43.98,6.69
2021.0,4.0,10.0,100.0,16564.19,48.76,6.69
